KEY,PREF,CITY,KCITY,RCOM,AIRTEMP,PRECIP,WIND,SOC,SAND,pH,CEC,NSTOCK,SOILTEMP
2610807007,26,108,07,007,13.09,151.04,1.67,77.86,0.37,4.96,266.94,702.0,12.37
2610807008,26,108,07,008,12.48,154.62,1.68,77.21,0.36,4.91,253.4,691.61,12.11
2610807009,26,108,07,009,12.69,155.36,1.68,78.62,0.36,4.89,262.24,696.0,12.11
2610807010,26,108,07,010,11.71,168.31,1.79,81.0,0.37,4.84,253.03,662.64,10.75
2610807011,26,108,07,011,12.93,145.25,1.58,74.47,0.37,4.92,260.17,693.01,12.28
2610807012,26,108,07,012,13.0,147.32,1.6,77.58,0.37,4.91,263.05,695.21,12.29
2610807013,26,108,07,013,12.47,146.06,1.52,70.14,0.37,4.93,258.21,660.31,11.85
2610901001,26,109,01,001,16.61,131.39,2.05,67.57,0.38,5.4,255.83,538.96,15.31
2610901002,26,109,01,002,16.76,132.99,2.08,71.99,0.36,5.5,255.26,536.11,15.75
2610901003,26,109,01,003,16.72,132.06,2.07,69.78,0.37,5.45,255.55,537.54,15.53
2610901004,26,109,01,004,16.22,130.62,2.02,67.57,0.38,5.4,255.83,538.96,15.31
2610901005,26,109,01,005,16.48,130.96,2.03,71.16,0.38,5.49,253.91,523.67,15.5
2610901006,26,109,01,006,16.74,131.29,2.05,70.26,0.38,5.47,254.39,527.49,15.45
2610901007,26,109,01,007,16.51,130.31,2.02,74.75,0.38,5.59,252.0,508.38,15.68
2610901008,26,109,01,008,16.43,128.77,1.99,75.15,0.38,5.46,240.77,519.23,15.77
2610901009,26,109,01,009,16.46,128.94,2.0,73.83,0.38,5.53,245.88,527.62,15.9
2610901010,26,109,01,010,16.26,128.12,1.98,72.5,0.38,5.6,251.0,536.0,16.03
2610901011,26,109,01,011,16.37,128.17,1.96,69.0,0.4,5.57,252.67,536.33,15.84
2610901012,26,109,01,012,16.47,128.84,2.0,70.46,0.39,5.58,252.26,534.99,15.88
2610901013,26,109,01,013,16.7,131.75,2.06,68.67,0.38,5.43,255.69,538.25,15.42
2610901014,26,109,01,014,16.66,129.91,2.03,69.88,0.38,5.58,253.12,532.62,15.77
2610901015,26,109,01,015,16.73,130.65,2.04,69.24,0.38,5.48,254.45,533.02,15.51
2610901016,26,109,01,016,16.69,129.92,2.03,71.77,0.38,5.54,250.78,528.0,15.75
2610901017,26,109,01,017,16.67,130.92,2.04,68.84,0.38,5.47,254.77,535.71,15.5
2610901018,26,109,01,018,16.57,129.16,2.02,69.88,0.38,5.58,253.12,532.62,15.77
2610901019,26,109,01,019,16.66,128.74,2.01,64.5,0.38,5.6,237.5,564.0,16.16
2610901020,26,109,01,020,16.19,127.55,1.96,64.86,0.38,5.54,252.14,557.86,15.95
2610901021,26,109,01,021,16.4,127.45,1.93,66.86,0.39,5.52,248.68,537.3,15.91
2610901022,26,109,01,022,16.64,126.82,1.9,66.24,0.38,5.52,248.27,539.39,15.94
2610901023,26,109,01,023,16.73,132.8,2.08,70.88,0.36,5.47,255.41,536.83,15.64
2610901024,26,109,01,024,16.71,133.36,2.1,75.42,0.35,5.58,254.28,535.42,16.06
2610901025,26,109,01,025,16.71,132.31,2.09,79.75,0.35,5.66,257.99,549.93,16.31
2610901026,26,109,01,026,16.71,131.45,2.09,83.38,0.34,5.75,263.25,572.96,16.62
2610901027,26,109,01,027,16.7,131.87,2.1,86.29,0.34,5.82,264.75,574.15,16.84
2610901028,26,109,01,028,16.67,130.25,2.1,88.5,0.35,5.85,262.5,553.5,16.96
2610901029,26,109,01,029,16.68,130.5,2.08,87.33,0.34,5.84,263.6,562.52,16.81
2610901030,26,109,01,030,16.67,129.06,2.09,89.5,0.34,5.9,268.0,552.0,16.85
2610901031,26,109,01,031,16.6,129.21,2.09,88.0,0.34,5.9,266.0,587.0,16.85
2610901032,26,109,01,032,16.64,128.83,2.07,82.33,0.34,5.88,253.78,561.33,16.77
2610901033,26,109,01,033,16.57,128.7,2.07,89.0,0.33,5.88,259.5,560.0,16.77
2610901034,26,109,01,034,16.52,127.99,2.07,91.0,0.33,5.82,239.92,548.23,16.88
2610901035,26,109,01,035,16.64,127.2,1.94,73.0,0.34,5.7,257.0,560.0,16.99
2610901036,26,109,01,036,16.62,127.02,1.95,67.45,0.36,5.61,248.88,560.62,16.37
2610901037,26,109,01,037,16.66,128.12,1.99,65.97,0.37,5.61,243.19,562.31,16.27
2610901038,26,109,01,038,16.6,128.03,2.01,76.2,0.35,5.73,247.33,562.56,16.51
2610901039,26,109,01,039,16.6,128.03,2.01,76.2,0.35,5.73,247.33,562.56,16.51
2610901040,26,109,01,040,16.69,128.59,2.0,76.66,0.34,5.72,252.62,556.42,16.64
2610901041,26,109,01,041,16.45,127.37,2.04,86.44,0.33,5.85,251.47,562.81,16.75
2610901042,26,109,01,042,16.56,128.42,2.05,92.0,0.32,5.85,260.0,552.0,16.8
2610901043,26,109,01,043,16.51,128.09,2.06,81.0,0.33,5.95,240.5,549.5,16.7
2610901044,26,109,01,044,16.5,127.87,2.05,88.69,0.33,5.85,258.64,559.33,16.78
2610901045,26,109,01,045,16.61,128.45,2.03,77.02,0.35,5.73,247.9,560.74,16.5
2610901046,26,109,01,046,16.66,129.61,2.06,84.35,0.34,5.81,256.71,560.86,16.7
